CUSTNAME,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_SALESMAN,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Dinosaur Planet,Isle of Man TT 2004 Review,Character,Paula Abduls Get Up & Dance,The Rise and Fall of ECW,Sick,8 Man,What the Do We Know!?,The Rings,Class of Nuke Em High 2,,Fighter,Full Frame Documentary Shorts,My Favorite Brunette,Lord of the Rings The Return of the King Extended Edition Bonus Material,Nature Antarctica,Neil Diamond Greatest Hits Live,Screamers,7 Seconds,Immortal Beloved,By Dawns Early Light,Seeta Aur Geeta,Strange Relations,Chump Change,Clifford Clifford Saves the Day! / Cliffords Fluffiest Friend Cleo,My Bloody Valentine,Inspector Morse 31 Death Is Now My Neighbour,Never Die Alone,Sesame Street Elmos World The Street We Live On
Deana Sena          ,MALMESBURY,VISA,11857,1544,NC358 ,Abandoned,Phone,Occasional,MediumValue,Gen_Y,,,,,3,,,,,,,,,,,3,2,,,,,,,,,,,4,
Deana Sena          ,MALMESBURY,VISA,11857,2323,NC295 ,Complete,Phone,Occasional,MediumValue,Gen_Y,,,,,,4,,,,,,,,,,,4,,,5,,,,,,,,3,
Deana Sena          ,MALMESBURY,VISA,11857,5135,SC256 ,In-Progress,Phone,Occasional,HighValue,Gen_Y,,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,
Deana Sena          ,MALMESBURY,VISA,11857,6581,SW280 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,2,,,,,4,4,,,,,4,,,4,3,,,,,,,,
Deana Sena          ,MALMESBURY,VISA,11857,8464,NC424 ,Abandoned,Desktop,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,5,
Lucy Beehler        ,Manerbio,American Express,11865,7097,SE268 ,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Lucy Beehler        ,Manerbio,American Express,11865,7692,NC160 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Frances Milton      ,Manoppello,VISA,11869,254,NC295 ,Complete,Phone,Frequent,MediumValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frances Milton      ,Manoppello,VISA,11869,8465,RP385 ,Complete,Desktop,Frequent,MediumValue,Gen_Y,,,3,,4,,,,,,3,2,,,,3,,2,,5,,3,,,,,,4,3
Deborah Spears      ,Mantorville,JCB,11873,502,NC364 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,4,,,,,,,,2,,1,2,,,3,,,,,,,,4,
Deborah Spears      ,Mantorville,JCB,11873,1863,SE208 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,3,,,,3,,,,,,3,2,,,,,3,,3,,,,,,,,,,
Deborah Spears      ,Mantorville,JCB,11873,2125,WE286 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,4,,,,,,,,,,2,2,,,,,,,,,,,,1
Jason Campbell      ,Marausa Loco Grande,Diners Club,11877,4936,SW406 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,3,,3,3,,2,,,5,3,,,,,3,,5,1,3,3,,,4,,,,
James Siegel        ,Marcoola,American Express,11881,2927,SW406 ,Complete,Phone,Frequent,HighValue,Gen_Y,,,5,,4,,,,,,,,,,,,3,,,4,,,,,,,,5,
James Siegel        ,Marcoola,American Express,11881,3642,WE421 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,4,,,5,,,,,,,,3,,,,,,4,,,,,,,,1,
James Siegel        ,Marcoola,American Express,11881,4778,SE397 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,,,,,4,,,,,,,,,,,,,,,,,,5,
James Siegel        ,Marcoola,American Express,11881,5671,RP190 ,Complete,Phone,Frequent,HighValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,
James Siegel        ,Marcoola,American Express,11881,6446,SE136 ,Complete,Phone,Frequent,HighValue,Gen_Y,,,,,,3,,,,,4,2,,3,,4,,2,3,4,3,,,,3,,,4,
Larry Gravely       ,Marion,JCB,11885,1142,NE304 ,In-Progress,Desktop,Frequent,MediumValue,Gen_Z,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,4,
Larry Gravely       ,Marion,JCB,11885,7638,NE178 ,Complete,Desktop,Frequent,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3
Claude Fulton       ,Mars Hill,JCB,11893,5081,SW412 ,Complete,Phone,Occasional,MediumValue,Gen_Z,1,,,,,,,,,,,,,,,,3,4,,,,,,,,,,3,
Edward Green        ,Marseille,JCB,11897,3939,NC166 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,1
Edward Green        ,Marseille,JCB,11897,4187,SE205 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,3,,,,,,,,,3,,,,,4,,,4,,,,,,,,3,
Edward Green        ,Marseille,JCB,11897,8930,SE133 ,Abandoned,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Doris Crowell       ,Marseille,JCB,11901,1834,SE400 ,Abandoned,Phone,FirstTime,MediumValue,Gen_Z,5,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,
James Nall          ,Marseille,Diners Club,11905,1284,NW118 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
James Nall          ,Marseille,Diners Club,11905,5583,SW142 ,Cancelled,Phone,Occasional,LowValue,Gen_X,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,
James Nall          ,Marseille,Diners Club,11905,7538,SE403 ,Complete,Phone,Occasional,LowValue,Gen_X,4,,,,4,,,,,,4,,,,,,,,,,,,,,,,,5,
James Nall          ,Marseille,Diners Club,11905,7362,RP253 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,
Charles Norton      ,MARTHIG,American Express,11909,6203,NW316 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,2,4,,,,,,,,2,,,,,,,,,,,,,,,
Charles Norton      ,MARTHIG,American Express,11909,6278,SE271 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,5,,,,,,,,,,,1,5,,3,,,,,,,,,
Charles Norton      ,MARTHIG,American Express,11909,6561,NE103 ,Cancelled,Desktop,Occasional,MediumValue,Gen_Z,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,
Charles Norton      ,MARTHIG,American Express,11909,6749,WE157 ,Complete,Phone,Occasional,MediumValue,Gen_Z,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,
Charles Norton      ,MARTHIG,American Express,11909,9157,SW346 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,,2,,,,,1,,,,,,,,,4,,,,,,,,5,
Loretta Batton      ,Maserno,VISA,11917,2564,WE289 ,Abandoned,Phone,Occasional,MediumValue,Gen_Z,,,4,,,2,,,,,,,,3,,4,,2,,,,,,,,,,5,3
Loretta Batton      ,Maserno,VISA,11917,6934,SC328 ,In-Progress,Phone,Occasional,MediumValue,Gen_Z,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,
Loretta Batton      ,Maserno,VISA,11917,7818,NE307 ,Complete,Phone,Occasional,HighValue,Gen_Z,4,,,,,3,4,,,4,4,,,,,,3,,,3,,,,,,,,5,4
Loretta Batton      ,Maserno,VISA,11917,8232,RP385 ,Cancelled,Phone,Occasional,HighValue,Gen_Z,,,,,,3,,,,,2,,,,,,,,,2,,,,,,,,,
David Cole          ,Massanzago,VISA,11921,1084,SW148 ,Complete,Phone,Occasional,LowValue,Gen_X,,3,,3,,4,,,,,,,,,,,,4,,,,,,4,,,,,
David Cole          ,Massanzago,VISA,11921,4714,NW184 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
Rene Chun           ,Matapozuelos,Discover,11925,30,SC325 ,Complete,Phone,Occasional,LowValue,Gen_X,,,3,,,,,,,,3,3,,3,,,,2,,2,3,,,,,,,,
Rene Chun           ,Matapozuelos,Discover,11925,1012,SE271 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,3,,,,,,,,,,,3,,,,3,,,,,,,,
Rene Chun           ,Matapozuelos,Discover,11925,5157,NW316 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,3,3,,,,,,,,1,,5,,,,4,,,,1,
Rene Chun           ,Matapozuelos,Discover,11925,5265,SC196 ,Abandoned,Phone,Occasional,LowValue,Gen_X,,,,,3,3,,,,,,,,,3,,,,,,,,,,,,,,4
Rene Chun           ,Matapozuelos,Discover,11925,6183,SE334 ,Complete,Phone,Occasional,LowValue,Gen_X,5,,,,,5,,,,,,,,,,,4,,,5,5,,,,,,,3,4
Rene Chun           ,Matapozuelos,Discover,11925,6822,NC361 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,3,,,,,,,,,,2,,3,,,4,,,,,,,,
Rene Chun           ,Matapozuelos,Discover,11925,8961,SW145 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,3,,,,,,3,,,1,,,2,,,,,,,,5,5
Nellie Sizemore     ,Matthews,Discover,11929,983,SE334 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Nellie Sizemore     ,Matthews,Discover,11929,7096,SE208 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,3,2
Patti Pfaff         ,MAULDEN,American Express,11933,5428,RP319 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,5,4
Lupe Quintanilla    ,Mayfield,Discover,11937,476,NC100 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,
Lupe Quintanilla    ,Mayfield,Discover,11937,768,RP385 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,3,
Beverly Richards    ,Mc Arthur,Master Card,11941,874,WE421 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,2,4,,,,,,,,,,,,2,,,1,,,,,,3,,4
Beverly Richards    ,Mc Arthur,Master Card,11941,2293,NC169 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,3,,,,,,,5,,,,3,,,3,,,4,,,4,,,,,4,
Beverly Richards    ,Mc Arthur,Master Card,11941,4737,NE307 ,Abandoned,Phone,Occasional,LowValue,Gen_Y,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,4,
James Allen         ,Mckeesport,JCB,11945,3026,WE220 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,
James Allen         ,Mckeesport,JCB,11945,3686,NE307 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,
James Allen         ,Mckeesport,JCB,11945,4349,SC259 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,
James Allen         ,Mckeesport,JCB,11945,6743,WE289 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,2,,,4,,4,,,3,,,3,4,,4,4,,,,,,,5,
James Allen         ,Mckeesport,JCB,11945,7977,WE223 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Kent Hall           ,Meaux,Diners Club,11949,516,SC325 ,Complete,Desktop,FirstTime,HighValue,Gen_Z,,,,,5,,,,,,,,,3,,,,,,,,,,,3,,,,
Robert Blevins      ,Melano Bastia,Master Card,11953,4471,SE139 ,Complete,Desktop,FirstTime,HighValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,4,,,,4,,,,
Robert Blevins      ,Melano Bastia,Master Card,11953,6345,NE238 ,Complete,Phone,FirstTime,MediumValue,Gen_Y,,,,4,3,3,,,,4,,,,,,4,,,,,,,4,,,,,3,
John Lucy           ,Melzo,American Express,11957,272,WE418 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
John Lucy           ,Melzo,American Express,11957,1274,NW187 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,
John Lucy           ,Melzo,American Express,11957,3515,RP190 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
John Lucy           ,Melzo,American Express,11957,7739,WE157 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
John Lucy           ,Melzo,American Express,11957,9267,NE238 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,5,,,,,,,2,,,,,,5,,,,,,,,,,3,
Viola Lopez         ,Memphis,JCB,11961,7022,SE331 ,Complete,Desktop,FirstTime,HighValue,Baby_Boomers,,,,,,5,,,,,,4,,,,,,,,4,,,,,,,,,
Viola Lopez         ,Memphis,JCB,11961,8529,NE373 ,Complete,Desktop,FirstTime,HighValue,Baby_Boomers,,,,,,,,4,,4,,,,,,,,,,4,4,,,,,,,,
Mike Harris         ,Mendavia,Discover,11965,1262,SE271 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Harris         ,Mendavia,Discover,11965,4011,WE349 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Harris         ,Mendavia,Discover,11965,8826,SE202 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Nicholas Markley    ,Meringandan,JCB,11973,1176,NW244 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Markley    ,Meringandan,JCB,11973,5113,NC166 ,Complete,Phone,Occasional,MediumValue,Gen_Z,,,,,,5,,,,,4,,,,,3,,3,,5,,,,,,,,5,
Nicholas Markley    ,Meringandan,JCB,11973,6734,WE223 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,3,3,,,,,,,,4,,,,,,,,,,,3,,,,
Nicholas Markley    ,Meringandan,JCB,11973,6975,SE268 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,3,,,,,,,3,,,,,2,,,,,,,,,,,,
Michelle Morris     ,Mertingen,JCB,11977,7760,WE151 ,Complete,Phone,FirstTime,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
David Moore         ,Messina,American Express,11981,658,NW250 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,4,,,,,,,3,,,,,,,,,4,,4,
David Moore         ,Messina,American Express,11981,1181,WE418 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,4,3,,,,,,,,4,,,,4,,,,5,,,4,,,,
David Moore         ,Messina,American Express,11981,2928,SE265 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,5,,4,,,,3,,,,,,,,,5,,,,,,,,1,
David Moore         ,Messina,American Express,11981,3051,NE175 ,Complete,Phone,Occasional,LowValue,Gen_Y,5,,,,,5,,4,,,,,,4,,,,,,,,4,,,,3,,,
David Moore         ,Messina,American Express,11981,4909,RP319 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,4,2
David Moore         ,Messina,American Express,11981,5156,SC127 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,3,,,,,,,,,,,5,
Jennifer Tiffany    ,Metterich,American Express,11985,5405,SW277 ,Abandoned,Phone,Occasional,LowValue,Baby_Boomers,,,,,1,3,,5,,,2,,3,,,4,2,5,,,,,,,,,,4,1
Katherine Liddell   ,Meyzieu,Discover,11989,2755,NC361 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,,,,,,4,,,,,,,3,,,,5,,,,,5,,
Katherine Liddell   ,Meyzieu,Discover,11989,6845,SC325 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,2,,,,,3,,,,,4,,,,,,4,,,,,,,,,,,3,
Katherine Liddell   ,Meyzieu,Discover,11989,7567,WE349 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Kathleen West       ,Miami,VISA,11997,2010,SW277 ,In-Progress,Phone,FirstTime,LowValue,Gen_Z,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,
Kathleen West       ,Miami,VISA,11997,6295,NC295 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,4,,,,4,,,,,,,,,,4,,,,,,,,2,3
Kathleen West       ,Miami,VISA,11997,6308,WE349 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Kathleen West       ,Miami,VISA,11997,8707,NC232 ,In-Progress,Phone,FirstTime,HighValue,Gen_Z,,,,,4,5,,,,,,4,,,,,,3,,,,,,,,,,,
Kathleen West       ,Miami,VISA,11997,8763,NC424 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,,,4,4,,,,,,,,,,,,,,4,,,,,,,,,
James Hammond       ,Mignanego,JCB,12005,3313,NE373 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,
Justin Johnson      ,Miles,American Express,12009,1769,WE415 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Justin Johnson      ,Miles,American Express,12009,2978,NC166 ,Abandoned,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,3,,,,,,,,,4,,,,,,,,4,
Justin Johnson      ,Miles,American Express,12009,5647,NC427 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,4,
Justin Johnson      ,Miles,American Express,12009,6953,SW409 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,3,,,,,,,,2,2,2,,,3,,4,,,1,,,,3,,,3,
Justin Johnson      ,Miles,American Express,12009,7057,SC262 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,2,3,5,,,,,4,,,,,3,,2,2,,,,,,,,2,4
Lynn Mitchell       ,Milwaukee,Discover,12013,1612,NE307 ,Complete,Phone,Frequent,HighValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,
Lynn Mitchell       ,Milwaukee,Discover,12013,2683,NC160 ,Complete,Phone,Frequent,HighValue,Gen_Y,,,,,3,3,,,,,,,,,,,3,,,3,,,,3,,,,,
Lynn Mitchell       ,Milwaukee,Discover,12013,3109,NW379 ,Complete,Phone,Frequent,MediumValue,Gen_Y,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,
Lynn Mitchell       ,Milwaukee,Discover,12013,5216,SW280 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,4,5,,,,2,,,,,,2,,,3,,,,,,,3,5,
Lynn Mitchell       ,Milwaukee,Discover,12013,5432,SE133 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,3
Lynn Mitchell       ,Milwaukee,Discover,12013,5668,NW310 ,Complete,Phone,Frequent,MediumValue,Gen_Y,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,5,4
Lynn Mitchell       ,Milwaukee,Discover,12013,8501,NW379 ,In-Progress,Phone,Frequent,HighValue,Gen_Y,,,,,3,4,,,,,,,,,,,,,,4,3,,,,,,3,4,
Veronica Walker     ,Mimosa,Diners Club,12017,4968,SE202 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Patricia Halloran   ,Minneapolis,Discover,12021,2840,RP253 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Patricia Halloran   ,Minneapolis,Discover,12021,3144,NW181 ,Abandoned,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Patricia Halloran   ,Minneapolis,Discover,12021,4527,NC100 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,2,,,,4,,4,,,,,,,,,,3,
Patricia Halloran   ,Minneapolis,Discover,12021,5353,NC427 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,3,4,,2,,,,,4,,,,4,,,
Maria Grote         ,Mira Loma,Diners Club,12025,718,NW247 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Maria Grote         ,Mira Loma,Diners Club,12025,6289,SW217 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4,1
Maria Grote         ,Mira Loma,Diners Club,12025,8972,SW340 ,Complete,Phone,Occasional,LowValue,Gen_Y,1,,,,,2,,,,,,,,,3,,,,,,,,,,,,,3,
Jennifer Ramirez    ,Missoula,Diners Club,12029,882,SC196 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Jennifer Ramirez    ,Missoula,Diners Club,12029,7076,NC232 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,3,3,,,,,,,,,,,3,,,,,4,,,,,,,
Issac Griffin       ,Mobile,VISA,12033,1167,WE226 ,Complete,Phone,Frequent,MediumValue,Gen_Y,,,,,,4,,,,,,,,,,,4,,,,,,,,,,,1,
Issac Griffin       ,Mobile,VISA,12033,7992,NE241 ,Complete,Desktop,Frequent,HighValue,Gen_Y,,,,,,5,,,,,,3,,,4,3,3,3,1,5,4,3,,,,,,4,
Eric Corbin         ,Mombello Di Torino,Discover,12041,736,WE421 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,4,,,,,,,,,,4,,,,,,,,,,5,,,
Eric Corbin         ,Mombello Di Torino,Discover,12041,1031,WE151 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,
Eric Corbin         ,Mombello Di Torino,Discover,12041,3080,SW214 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,4,4,,,,,,,,,,,3,2,,,,4,,,,,,,
Eric Corbin         ,Mombello Di Torino,Discover,12041,8779,SW280 ,Abandoned,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachary Palmer      ,Monasterolo Casotto,Diners Club,12045,1108,NC295 ,Abandoned,Phone,FirstTime,HighValue,Gen_Z,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,
Zachary Palmer      ,Monasterolo Casotto,Diners Club,12045,3472,SE397 ,Abandoned,Phone,FirstTime,HighValue,Gen_Z,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Zachary Palmer      ,Monasterolo Casotto,Diners Club,12045,7039,SE268 ,Complete,Phone,FirstTime,HighValue,Gen_Z,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,
Jeffery Patterson   ,Monroe,American Express,12049,1187,NE238 ,Complete,Desktop,Occasional,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Jeffery Patterson   ,Monroe,American Express,12049,2915,SC196 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,,,,,,,3,,,,,,,,5,5,,,,,,,,5,
Jeffery Patterson   ,Monroe,American Express,12049,4546,WE289 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,
Jeffery Patterson   ,Monroe,American Express,12049,6349,WE283 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffery Patterson   ,Monroe,American Express,12049,7619,SW343 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,3,4,,,,,,1,,3,,,,,,3,,,,,,,,3,
Randolph Santiago   ,Montemar,Diners Club,12053,2030,WE415 ,Cancelled,Phone,Frequent,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph Santiago   ,Montemar,Diners Club,12053,2483,NE370 ,Complete,Phone,Frequent,MediumValue,Gen_Z,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,3,
Randolph Santiago   ,Montemar,Diners Club,12053,4199,SE334 ,Complete,Phone,Frequent,HighValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,
Randolph Santiago   ,Montemar,Diners Club,12053,4565,NW112 ,Complete,Desktop,Frequent,HighValue,Gen_Z,,,2,,,,,,,,,,,4,4,4,,1,,,,,5,,,,,,
Randolph Santiago   ,Montemar,Diners Club,12053,6132,SC193 ,In-Progress,Desktop,Frequent,MediumValue,Gen_Z,,,,,4,4,,,,,,,,,,,2,,,,,,,,,,,,
Elizabeth Deberry   ,Montagnano Alberoro,American Express,12057,484,NE367 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,4,4,,4,,,,2,,,,,,,,,,,,,4,,,5,
Elizabeth Deberry   ,Montagnano Alberoro,American Express,12057,6980,SE268 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,4,3
Adrienne Riggs      ,Montappone,VISA,12061,1549,NE307 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Adrienne Riggs      ,Montappone,VISA,12061,2268,NC169 ,Complete,Desktop,Occasional,HighValue,Gen_Y,,4,,,,3,,,,,4,,,,,,,4,,5,,,,,,,,4,
Adrienne Riggs      ,Montappone,VISA,12061,2541,SW280 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,5
Adrienne Riggs      ,Montappone,VISA,12061,3435,WE349 ,Complete,Phone,Occasional,MediumValue,Gen_Y,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,5,
Adrienne Riggs      ,Montappone,VISA,12061,5154,SC328 ,Complete,Phone,Occasional,HighValue,Gen_Y,,,,1,3,3,,,,,,,,,,,4,,,,,,,,,,,,
Adrienne Riggs      ,Montappone,VISA,12061,8727,NW313 ,Complete,Phone,Occasional,HighValue,Gen_Y,,2,,2,,,,,,,,,,,,3,,,,4,,,,,,,,,
George Mcnabb       ,Montceau-les-mines,Diners Club,12065,3882,NE103 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,4,,3,,,,,,4,,,,,,,,,
George Mcnabb       ,Montceau-les-mines,Diners Club,12065,5651,WE289 ,In-Progress,Desktop,Frequent,HighValue,Baby_Boomers,3,,,,5,,,,,,,,,,,,,,,,,,,,,,4,4,3
Christina Lehto     ,Monte Romano,VISA,12069,861,NW184 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,4,,,,3,,4,,,4,,,2,4,,,,3,,4,,
Christina Lehto     ,Monte Romano,VISA,12069,3520,RP253 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,
Alvin Lampkin       ,Monteleone D'Orvieto,JCB,12073,4210,WE283 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,3,,,,,,,,,,,,,,5,,,,,,,,5,4
